Nitrogen metabolism,Glycosaminoglycan degradation,2-Oxocarboxylic acid metabolism,Biosynthesis of various other secondary metabolites,Degradation of aromatic compounds,Lysine biosynthesis,Taurine and hypotaurine metabolism,Phenylalanine metabolism,"Valine, leucine and isoleucine degradation",alpha-Linolenic acid metabolism,Carbon fixation pathways in prokaryotes,Biosynthesis of secondary metabolites,Methane metabolism,C5-Branched dibasic acid metabolism,Benzoate degradation,Phenazine biosynthesis,Glycolysis / Gluconeogenesis,Carbon metabolism,Butanoate metabolism,"Valine, leucine and isoleucine biosynthesis",class
7901.608,1969.153,20689.798,874.038,2155.349,22122.635,2540.248,1569.996,5531.893,50.658,49760.727,108761.425,21096.623,2845.472,1304.501,104.619,51248.301,210409.085,970.49,23151.564,Perio
2757.034,707.69,8655.763,353.515,532.797,10629.778,986.104,646.291,1748.304,35.469,20423.854,44111.094,8173.899,1163.976,305.852,85.281,18691.658,83736.564,369.956,8677.871,Perio
12559.274,3085.302,38893.313,835.589,1938.617,38828.801,3494.196,1378.747,6479.227,55.695,70294.353,163211.34,32517.932,5552.033,1113.431,141.864,64830.805,286684.876,877.664,42752.759,Perio
7959.785,1263.059,17963.145,452.409,1168.974,19188.291,2151.598,846.588,3712.662,20.292,35677.829,82276.923,17000.294,2348.548,672.238,35.103,36054.871,152529.753,739.162,19837.755,Perio
9405.265,2340.172,23686.928,496.736,1338.058,23924.417,2501.468,779.145,3737.788,20.292,42186.84,104234.922,19447.31,3086.022,777.291,62.15,38134.885,179390.372,824.237,24709.903,Perio
8245.763,1879.763,20287.232,532.891,1458.617,20930.599,2190.737,861.449,3452.807,0.0,38437.744,89327.122,18085.848,2675.935,851.191,22.441,37354.078,161122.609,645.841,22795.433,Perio
3134.254,935.295,10418.664,204.059,598.282,10570.972,1097.145,516.562,1997.705,25.317,21818.826,45403.09,10607.051,1391.539,330.854,56.51,19154.16,88749.261,322.636,10972.768,Perio
7698.067,1244.973,15197.84,275.452,686.537,14440.392,1616.763,471.175,2773.918,2.532,29898.172,65218.212,14448.323,2107.511,376.518,24.657,24917.537,120363.627,719.673,16657.26,Perio
11645.487,4680.681,34633.419,308.36,1406.504,39316.236,3326.793,1005.043,5420.997,2.544,72584.927,150646.117,33329.399,5756.793,753.881,2.315,64404.516,283650.843,824.065,39092.76,Caries
10563.73,2371.051,28330.082,795.136,2203.184,29487.479,2992.151,1350.081,5054.09,48.102,54499.66,130680.812,24678.881,3910.068,1246.093,73.412,54928.108,234540.02,960.862,30876.551,Caries
2469.359,179.997,7003.345,208.22,533.046,5843.969,685.738,280.795,1172.373,2.544,8995.806,27423.894,4331.415,947.712,314.644,19.487,11369.551,44805.86,293.322,7576.439,Caries
5851.821,1088.139,16001.721,349.511,893.759,17339.711,1687.69,630.443,2625.732,15.273,30262.548,69918.304,14642.54,2188.084,511.319,74.95,27241.363,125257.807,570.869,17226.21,Caries
7094.278,2063.766,16342.348,672.071,1138.786,18013.619,1754.964,674.908,3189.366,15.243,33962.901,79987.817,13177.665,2198.682,722.65,19.336,31820.714,140007.661,747.083,18550.459,Caries
5249.634,744.807,16441.646,693.144,1282.869,14408.751,1457.974,729.622,2500.769,0.0,24527.141,66841.696,10707.388,2287.833,735.848,13.123,26574.828,110123.577,419.146,17396.711,Caries
6379.398,2261.338,24970.436,303.882,927.653,22565.216,1829.885,524.103,3201.446,0.0,36953.208,92619.435,17386.153,3694.238,511.501,35.332,32374.906,152439.142,549.239,26489.874,Caries
7920.31,2417.854,28532.176,450.362,1484.055,27381.88,2773.109,877.877,4087.668,30.444,45741.371,111322.456,22903.76,4105.501,881.311,39.406,45172.223,198954.984,750.985,30097.154,Caries
5267.744,956.759,13164.627,336.163,1032.928,13420.836,1523.238,637.432,2251.526,65.823,26238.618,58666.964,12730.162,1654.331,522.071,38.752,24572.404,110179.08,490.039,14305.28,Caries
10517.701,3043.17,34894.424,336.192,1550.33,34033.493,3237.639,889.987,4983.94,17.811,56012.788,136731.447,28891.643,5499.201,894.534,27.764,55837.35,244499.962,952.175,37940.723,Caries
